Gene name	Gene stable ID
MT-TF	ENSG00000210049
MT-RNR1	ENSG00000211459
MT-TV	ENSG00000210077
MT-RNR2	ENSG00000210082
MT-TL1	ENSG00000209082
MT-ND1	ENSG00000198888
MT-TI	ENSG00000210100
MT-TQ	ENSG00000210107
MT-TM	ENSG00000210112
MT-ND2	ENSG00000198763
MT-TW	ENSG00000210117
MT-TA	ENSG00000210127
MT-TN	ENSG00000210135
MT-TC	ENSG00000210140
MT-TY	ENSG00000210144
MT-CO1	ENSG00000198804
MT-TS1	ENSG00000210151
MT-TD	ENSG00000210154
MT-CO2	ENSG00000198712
MT-TK	ENSG00000210156
MT-ATP8	ENSG00000228253
MT-ATP6	ENSG00000198899
MT-CO3	ENSG00000198938
MT-TG	ENSG00000210164
MT-ND3	ENSG00000198840
MT-TR	ENSG00000210174
MT-ND4L	ENSG00000212907
MT-ND4	ENSG00000198886
MT-TH	ENSG00000210176
MT-TS2	ENSG00000210184
MT-TL2	ENSG00000210191
MT-ND5	ENSG00000198786
MT-ND6	ENSG00000198695
MT-TE	ENSG00000210194
MT-CYB	ENSG00000198727
MT-TT	ENSG00000210195
MT-TP	ENSG00000210196
5S_rRNA	ENSG00000278457
	ENSG00000280538
	ENSG00000278704
	ENSG00000271254
	ENSG00000275151
5_8S_rRNA	ENSG00000278294
	ENSG00000281806
	ENSG00000279969
LINC02109	ENSG00000274882
LINC01115	ENSG00000281362
PCMTD2	ENSG00000280663
	ENSG00000277995
OPRL1	ENSG00000277044
NPBWR2	ENSG00000277339
	ENSG00000280695
MYT1	ENSG00000276876
KIR2DS4	ENSG00000274324
	ENSG00000274130
KIR2DL2	ENSG00000278731
KIR3DL3	ENSG00000277620
LILRP2	ENSG00000274826
INTS3	ENSG00000262826
KIR2DL4	ENSG00000277355
KIR2DL4	ENSG00000275699
LILRP2	ENSG00000273755
KIR2DL2	ENSG00000275407
KIR3DL1	ENSG00000276379
KIR2DL1	ENSG00000277616
KIR3DP1	ENSG00000275751
KIR2DL1	ENSG00000278805
LILRP2	ENSG00000275442
KIR2DS4	ENSG00000277345
KIR2DL3	ENSG00000276459
KIR2DL3	ENSG00000277484
FCAR	ENSG00000276858
KIR3DL2	ENSG00000276424
LILRP2	ENSG00000274861
KIR2DL1	ENSG00000278248
LILRP1	ENSG00000274339
	ENSG00000280579
KIR3DL1	ENSG00000276501
KIR3DL1	ENSG00000273775
	ENSG00000276970
	ENSG00000275018
	ENSG00000280708
KIR3DL1	ENSG00000277272
	ENSG00000281416
PPIAL4F	ENSG00000275974
LILRP1	ENSG00000277070
KIR2DS5	ENSG00000276676
	ENSG00000280460
U1	ENSG00000274574
RNVU1-26	ENSG00000273990
KIR2DP1	ENSG00000277376
RNVU1-2A	ENSG00000273757
KIR2DS2	ENSG00000276258
KIR2DL5B	ENSG00000275946
KIR2DL4	ENSG00000274189
KIR3DL2	ENSG00000273735
KIR2DL1	ENSG00000276820
KIR3DL3	ENSG00000276433
KIR2DS3	ENSG00000278306
KIR3DL2	ENSG00000276357
KIR2DL4	ENSG00000275732
KIR3DL1	ENSG00000275717
KIR3DL3	ENSG00000274696
KIR2DS4	ENSG00000274807
LILRP1	ENSG00000275112
KIR3DP1	ENSG00000277742
KIR2DS2	ENSG00000274518
	ENSG00000278360
KIR2DS4	ENSG00000275938
DNAH10	ENSG00000281935
KIR2DS2	ENSG00000276139
	ENSG00000276013
KIR2DL4	ENSG00000273575
LILRP2	ENSG00000274120
KIR2DL3	ENSG00000277317
KIR2DL4	ENSG00000274945
	ENSG00000276974
LILRP1	ENSG00000278325
KIR3DP1	ENSG00000277176
KIR2DS2	ENSG00000276425
KIR3DL3	ENSG00000276930
KIR2DS1	ENSG00000275421
KIR3DL1	ENSG00000274146
KIR3DL1	ENSG00000276329
	ENSG00000277630
KIR3DL3	ENSG00000275172
KIR3DP1	ENSG00000276518
KIR2DS2	ENSG00000278152
KIR2DL1	ENSG00000274782
KIR2DS4	ENSG00000274714
KIR2DL3	ENSG00000273947
	ENSG00000275422
KIR2DS4	ENSG00000276885
KIR2DP1	ENSG00000274851
NCR1	ENSG00000277334
KIR2DL4	ENSG00000276779
KIR2DL2	ENSG00000275914
KIR3DP1	ENSG00000273688
LILRP1	ENSG00000277570
KIR3DL1	ENSG00000275786
	ENSG00000276306
KIR2DL4	ENSG00000274955
KIR2DS3	ENSG00000277193
	ENSG00000277185
KIR3DL1	ENSG00000275288
KIR2DL5A	ENSG00000276392
U6	ENSG00000278793
KIR2DL4	ENSG00000275237
LILRP2	ENSG00000276247
KIR3DP1	ENSG00000276212
KIR2DL1	ENSG00000278207
KIR2DL4	ENSG00000276044
LILRP1	ENSG00000276099
LINC01839	ENSG00000281738
KIR2DS5	ENSG00000274243
KIR2DL2	ENSG00000273578
LINC02054	ENSG00000281250
KIR2DL5B	ENSG00000278414
KIR3DP1	ENSG00000278786
CCDC92	ENSG00000275035
KIR3DL3	ENSG00000274639
KIR3DS1	ENSG00000276498
KIR3DL1	ENSG00000274948
KIR3DP1	ENSG00000278051
KIR3DL3	ENSG00000274724
KIR3DL2	ENSG00000278850
KIR3DP1	ENSG00000277835
KIR3DP1	ENSG00000276035
NCR1	ENSG00000275521
LILRP1	ENSG00000276001
KIR2DL4	ENSG00000277964
FCAR	ENSG00000276985
KIR3DL1	ENSG00000276423
KIR3DL2	ENSG00000278710
U6	ENSG00000278625
	ENSG00000262025
	ENSG00000263275
KIR2DL1	ENSG00000273510
	ENSG00000262299
	ENSG00000281954
GEMIN2P1	ENSG00000262767
KIR2DL4	ENSG00000275848
U6	ENSG00000277551
	ENSG00000275245
GATAD2B	ENSG00000261992
KIR2DS4	ENSG00000276154
KIR2DL1	ENSG00000278755
LILRP1	ENSG00000274545
	ENSG00000275225
KIR3DL3	ENSG00000278490
KIR3DL1	ENSG00000278856
LILRP2	ENSG00000277267
KIR3DS1	ENSG00000276534
OR9G4	ENSG00000262647
OR5G3	ENSG00000281107
	ENSG00000263130
KIR2DS4	ENSG00000277078
OR9G3P	ENSG00000262268
OR5G1P	ENSG00000281313
SLC27A3	ENSG00000263163
KIR2DL3	ENSG00000274830
KIR3DL1	ENSG00000275659
KIR2DL2	ENSG00000277725
OR5G4P	ENSG00000281279
OR5G5P	ENSG00000262535
KIR3DL2	ENSG00000274722
KIR2DL3	ENSG00000276590
KIR3DL2	ENSG00000276004
	ENSG00000276197
KIR3DL3	ENSG00000273502
RNA5-8SN5	ENSG00000274917
5_8S_rRNA	ENSG00000273730
	ENSG00000273937
KIR2DL1	ENSG00000275750
KIR2DS4	ENSG00000273526
OR9G2P	ENSG00000281777
KIR3DL2	ENSG00000278758
OR9G1	ENSG00000261958
KIR2DL4	ENSG00000277076
KIR3DL3	ENSG00000275433
KIR2DP1	ENSG00000273522
	ENSG00000281683
OR9G9	ENSG00000262191
KIR3DL2	ENSG00000278726
LINC02735	ENSG00000281839
FCAR	ENSG00000273738
	ENSG00000278345
KIR3DL3	ENSG00000276806
LINC00254	ENSG00000282469
KIR2DL1	ENSG00000275080
HS3ST6	ENSG00000276333
MEIOB	ENSG00000282650
LINC02124	ENSG00000282069
	ENSG00000280271
ZNF43	ENSG00000279566
KIR2DS5	ENSG00000277650
	ENSG00000279614
KIR2DP1	ENSG00000278329
KIR2DL3	ENSG00000276218
KIR2DL2	ENSG00000273661
ZNF100	ENSG00000274746
KIR2DL3	ENSG00000274108
KIR3DL2	ENSG00000278442
KIR2DL4	ENSG00000277362
LILRP1	ENSG00000274271
KIR2DL5A	ENSG00000274676
KIR2DL1	ENSG00000277356
	ENSG00000262994
LILRP2	ENSG00000275289
	ENSG00000269823
CCNYL6	ENSG00000279280
	ENSG00000276999
Y_RNA	ENSG00000262710
BRI3BPP1	ENSG00000279112
Y_RNA	ENSG00000262469
